"Woonplaatsen in Nederland 2015"
"Onderwerpen";"Woonplaatscode";"Gemeente";"Gemeente";"Provincie";"Provincie";"Landsdeel";"Landsdeel"
"Steendam";"1359";"Slochteren";"GM0040";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Steenderen";"1526";"Bronckhorst";"GM1876";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Steenenkamer";"2608";"Voorst";"GM0285";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Steensel";"2995";"Eersel";"GM0770";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Steenwijk";"2713";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Steenwijkerwold";"2714";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Stegeren";"2553";"Ommen";"GM0175";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Steggerda";"1741";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Stein";"1913";"Stein";"GM0971";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Stellendam";"2933";"Goeree-Overflakkee";"GM1924";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Sterksel";"1316";"Heeze-Leende";"GM1658";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Stevensbeek";"2084";"Sint Anthonis";"GM1702";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Stevensweert";"1922";"Maasgouw";"GM1641";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Steyl";"1475";"Venlo";"GM0983";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Stieltjeskanaal";"2163";"Coevorden";"GM0109";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Stiens";"3230";"Leeuwarderadeel";"GM0081";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Stitswerd";"3482";"Eemsmond";"GM1651";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Stokkum";"2210";"Montferland";"GM1955";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Stolwijk";"2388";"Krimpenerwaard";"GM1931";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Stompetoren";"1890";"Alkmaar";"GM0361";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Stoutenburg";"2639";"Leusden";"GM0327";"Utrecht";"PV26";"West-Nederland";"LD03"
"Stoutenburg Noord";"1667";"Amersfoort";"GM0307";"Utrecht";"PV26";"West-Nederland";"LD03"
"Stramproy";"1975";"Weert";"GM0988";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Streefkerk";"1805";"Molenwaard";"GM1927";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Striep";"2620";"Terschelling";"GM0093";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Strijbeek";"3435";"Alphen-Chaam";"GM1723";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Strijen";"2797";"Strijen";"GM0617";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Strijensas";"2798";"Strijen";"GM0617";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Stroe";"1059";"Barneveld";"GM0203";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Stroobos";"3180";"Achtkarspelen";"GM0059";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Stuifzand";"3023";"Midden-Drenthe";"GM1731";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Stuifzand";"1819";"Hoogeveen";"GM0118";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Sumar";"2453";"Tytsjerksteradiel";"GM0737";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Surhuisterveen";"3181";"Achtkarspelen";"GM0059";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Surhuizum";"3182";"Achtkarspelen";"GM0059";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Susteren";"2045";"Echt-Susteren";"GM1711";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Suwâld";"2448";"Tytsjerksteradiel";"GM0737";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Swalmen";"2283";"Roermond";"GM0957";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Sweikhuizen";"2104";"Schinnen";"GM0962";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Swichum";"1204";"Leeuwarden";"GM0080";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Swifterbant";"2431";"Dronten";"GM0303";"Flevoland";"PV24";"Oost-Nederland";"LD02"
"Swolgen";"1859";"Horst aan de Maas";"GM1507";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Taarlo";"2918";"Tynaarlo";"GM1730";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Teeffelen";"3472";"Oss";"GM0828";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Teerns";"1203";"Leeuwarden";"GM0080";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Tegelen";"1474";"Venlo";"GM0983";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Terband";"2182";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Terborg";"1577";"Oude IJsselstreek";"GM1509";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Terheijden";"2578";"Drimmelen";"GM1719";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Terherne";"2537";"De Friese Meren";"GM1921";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Terhole";"3096";"Hulst";"GM0677";"Zeeland";"PV29";"West-Nederland";"LD03"
"Terkaple";"2510";"De Friese Meren";"GM1921";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Termunten";"3242";"Delfzijl";"GM0010";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Termunterzijl";"3243";"Delfzijl";"GM0010";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Ternaard";"3411";"Dongeradeel";"GM0058";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Terneuzen";"1137";"Terneuzen";"GM0715";"Zeeland";"PV29";"West-Nederland";"LD03"
"Teroele";"2511";"De Friese Meren";"GM1921";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Terschuur";"3598";"Barneveld";"GM0203";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Tersoal";"2538";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Terwispel";"3355";"Opsterland";"GM0086";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Terwolde";"2609";"Voorst";"GM0285";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Teteringen";"1706";"Breda";"GM0758";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Teuge";"2610";"Voorst";"GM0285";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Thesinge";"1832";"Ten Boer";"GM0009";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Tholen";"2071";"Tholen";"GM0716";"Zeeland";"PV29";"West-Nederland";"LD03"
"Thorn";"1916";"Maasgouw";"GM1641";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Tiel";"3601";"Tiel";"GM0281";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Tiendeveen";"1820";"Hoogeveen";"GM0118";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Tiendeveen";"3024";"Midden-Drenthe";"GM1731";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Tienhoven";"2107";"Zederik";"GM0707";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Tienhoven";"2065";"Stichtse Vecht";"GM1904";"Utrecht";"PV26";"West-Nederland";"LD03"
"Tienray";"1860";"Horst aan de Maas";"GM1507";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Tijnje";"3356";"Opsterland";"GM0086";"Friesland";"PV21";"Noord-Nederland";"LD01"
"De Tike";"3276";"Smallingerland";"GM0090";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Tilburg";"1043";"Tilburg";"GM0855";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Tilligte";"1416";"Dinkelland";"GM1774";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Tinallinge";"2473";"Winsum";"GM0053";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Tinte";"1211";"Westvoorne";"GM0614";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Tirns";"3591";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Tjalhuizum";"2422";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Tjalleberd";"2184";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Tjerkgaast";"2512";"De Friese Meren";"GM1921";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Tjerkwerd";"2324";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Tjuchem";"1360";"Slochteren";"GM0040";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Tolbert";"2345";"Leek";"GM0022";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Toldijk";"1531";"Bronckhorst";"GM1876";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Tolkamer";"2981";"Rijnwaarden";"GM0196";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Tollebeek";"1279";"Noordoostpolder";"GM0171";"Flevoland";"PV24";"Oost-Nederland";"LD02"
"Tonden";"1110";"Brummen";"GM0213";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Toornwerd";"3454";"Loppersum";"GM0024";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Tricht";"3531";"Geldermalsen";"GM0236";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Triemen";"3314";"Kollumerland en Nieuwkruisland";"GM0079";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Tripscompagnie";"2276";"Menterwolde";"GM1987";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Tubbergen";"1294";"Tubbergen";"GM0183";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Tuil";"3366";"Neerijnen";"GM0304";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Tuitjenhorn";"3292";"Schagen";"GM0441";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Tuk";"2715";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Tull en 't Waal";"2055";"Houten";"GM0321";"Utrecht";"PV26";"West-Nederland";"LD03"
"Twello";"2611";"Voorst";"GM0285";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Twijzel";"3183";"Achtkarspelen";"GM0059";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Twijzelerheide";"3184";"Achtkarspelen";"GM0059";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Twisk";"3157";"Medemblik";"GM0420";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Tynaarlo";"2919";"Tynaarlo";"GM1730";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Tytsjerk";"2447";"Tytsjerksteradiel";"GM0737";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Tzum";"1362";"Franekeradeel";"GM0070";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Tzummarum";"1377";"Franekeradeel";"GM0070";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Ubbena";"2395";"Assen";"GM0106";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Ubbergen";"2879";"Groesbeek";"GM0241";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Uddel";"3562";"Apeldoorn";"GM0200";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Uden";"1847";"Uden";"GM0856";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Udenhout";"1045";"Tilburg";"GM0855";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Uffelte";"3121";"Westerveld";"GM1701";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Ugchelen";"2256";"Apeldoorn";"GM0200";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Uitdam";"1947";"Waterland";"GM0852";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Uitgeest";"2755";"Uitgeest";"GM0450";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Uithoorn";"2062";"Uithoorn";"GM0451";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Uithuizen";"3483";"Eemsmond";"GM1651";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Uithuizermeeden";"3484";"Eemsmond";"GM1651";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Uitwellingerga";"2423";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Uitwijk";"3304";"Woudrichem";"GM0874";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Ulestraten";"1465";"Meerssen";"GM0938";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Ulft";"1580";"Oude IJsselstreek";"GM1509";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Ulicoten";"2884";"Baarle-Nassau";"GM0744";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Ulrum";"3425";"De Marne";"GM1663";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Ulvenhout";"1704";"Breda";"GM0758";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Ulvenhout AC";"3436";"Alphen-Chaam";"GM1723";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Ureterp";"3357";"Opsterland";"GM0086";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Urk";"2143";"Urk";"GM0184";"Flevoland";"PV24";"Oost-Nederland";"LD02"
"Urmond";"1915";"Stein";"GM0971";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Ursem";"1191";"Koggenland";"GM1598";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Ursem gem. S";"1891";"Alkmaar";"GM0361";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Usquert";"3485";"Eemsmond";"GM1651";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Utrecht";"3295";"Utrecht";"GM0344";"Utrecht";"PV26";"West-Nederland";"LD03"
"Vaals";"1429";"Vaals";"GM0981";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Vaassen";"1345";"Epe";"GM0232";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Valburg";"1872";"Overbetuwe";"GM1734";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Valkenburg";"1718";"Valkenburg aan de Geul";"GM0994";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Valkenburg";"1709";"Katwijk";"GM0537";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Valkenswaard";"1100";"Valkenswaard";"GM0858";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Valthe";"1800";"Borger-Odoorn";"GM1681";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Valthermond";"1801";"Borger-Odoorn";"GM1681";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"2e Valthermond";"1781";"Borger-Odoorn";"GM1681";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Varik";"3367";"Neerijnen";"GM0304";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Varsselder";"1582";"Oude IJsselstreek";"GM1509";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Varsseveld";"1574";"Oude IJsselstreek";"GM1509";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Vasse";"1295";"Tubbergen";"GM0183";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Veelerveen";"2234";"Bellingwedde";"GM0007";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Veen";"1956";"Aalburg";"GM0738";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Veendam";"1240";"Veendam";"GM0047";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Veenendaal";"2048";"Veenendaal";"GM0345";"Utrecht";"PV26";"West-Nederland";"LD03"
"De Veenhoop";"3277";"Smallingerland";"GM0090";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Veenhuizen";"1651";"Noordenveld";"GM1699";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Veeningen";"3171";"De Wolden";"GM1690";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Veenklooster";"3315";"Kollumerland en Nieuwkruisland";"GM0079";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Veenoord";"1999";"Emmen";"GM0114";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Veere";"2783";"Veere";"GM0717";"Zeeland";"PV29";"West-Nederland";"LD03"
"Veessen";"2866";"Heerde";"GM0246";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Vegelinsoord";"2513";"De Friese Meren";"GM1921";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Veghel";"2827";"Veghel";"GM0860";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"'t Veld";"2520";"Hollands Kroon";"GM1911";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Velddriel";"1631";"Maasdriel";"GM0263";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Den Velde";"1547";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Velden";"3142";"Venlo";"GM0983";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Veldhoven";"1384";"Veldhoven";"GM0861";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Velp";"1500";"Rheden";"GM0275";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Velp";"3198";"Grave";"GM0786";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Velsen-Noord";"3538";"Velsen";"GM0453";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Velsen-Zuid";"3536";"Velsen";"GM0453";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Velserbroek";"2839";"Velsen";"GM0453";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Venebrugge";"1565";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Venhorst";"3139";"Boekel";"GM0755";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Venhuizen";"1512";"Drechterland";"GM0498";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Venlo";"1473";"Venlo";"GM0983";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Venray";"2335";"Venray";"GM0984";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Ven-Zelderheide";"2481";"Gennep";"GM0907";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Vessem";"2996";"Eersel";"GM0770";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Vethuizen";"2211";"Montferland";"GM1955";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Veulen";"2336";"Venray";"GM0984";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Vianen";"2843";"Vianen";"GM0620";"Utrecht";"PV26";"West-Nederland";"LD03"
"Vianen NB";"1455";"Cuijk";"GM1684";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Vierakker";"1532";"Bronckhorst";"GM1876";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Vierhouten";"2985";"Nunspeet";"GM0302";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Vierhuizen";"3426";"De Marne";"GM1663";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Vierlingsbeek";"1223";"Boxmeer";"GM0756";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Vierpolders";"2369";"Brielle";"GM0501";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Vijfhuizen";"1613";"Haarlemmermeer";"GM0394";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Vijlen";"1431";"Vaals";"GM0981";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Vilsteren";"2554";"Ommen";"GM0175";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Vinkega";"1743";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Vinkel";"3612";"'s-Hertogenbosch";"GM0796";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Vinkel";"3063";"Bernheze";"GM1721";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Vinkenbuurt";"2555";"Ommen";"GM0175";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Vinkeveen";"3550";"De Ronde Venen";"GM0736";"Utrecht";"PV26";"West-Nederland";"LD03"
"Visvliet";"2127";"Zuidhorn";"GM0056";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Vlaardingen";"1015";"Vlaardingen";"GM0622";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Vlagtwedde";"2298";"Vlagtwedde";"GM0048";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Vledder";"3122";"Westerveld";"GM1701";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Vledderveen";"3078";"Stadskanaal";"GM0037";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Vledderveen";"3123";"Westerveld";"GM1701";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Vleuten";"3296";"Utrecht";"GM0344";"Utrecht";"PV26";"West-Nederland";"LD03"
"Vlieland";"3299";"Vlieland";"GM0096";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Vlierden";"1775";"Deurne";"GM0762";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Vlijmen";"3503";"Heusden";"GM0797";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Vlissingen";"1078";"Vlissingen";"GM0718";"Zeeland";"PV29";"West-Nederland";"LD03"
"Vlist";"2389";"Krimpenerwaard";"GM1931";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Vlodrop";"2595";"Roerdalen";"GM1669";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Voerendaal";"1855";"Voerendaal";"GM0986";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Vogelenzang";"2651";"Bloemendaal";"GM0377";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Vogelwaarde";"3095";"Hulst";"GM0677";"Zeeland";"PV29";"West-Nederland";"LD03"
"Volendam";"1748";"Edam-Volendam";"GM0385";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Volkel";"1848";"Uden";"GM0856";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Vollenhove";"2716";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Vondelingenplaat Rotterdam";"3087";"Rotterdam";"GM0599";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Voorburg";"1622";"Leidschendam-Voorburg";"GM1916";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Voorhout";"2004";"Teylingen";"GM1525";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Voorschoten";"3231";"Voorschoten";"GM0626";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Voorst";"2612";"Voorst";"GM0285";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Voorst";"1586";"Oude IJsselstreek";"GM1509";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Voorthuizen";"3599";"Barneveld";"GM0203";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Vorchten";"2867";"Heerde";"GM0246";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Vorden";"3573";"Bronckhorst";"GM1876";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Vorstenbosch";"3064";"Bernheze";"GM1721";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Vortum-Mullem";"1224";"Boxmeer";"GM0756";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Vragender";"2226";"Oost Gelre";"GM1586";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Vredenheim";"1181";"Aa en Hunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Vredepeel";"2337";"Venray";"GM0984";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Vreeland";"3525";"Stichtse Vecht";"GM1904";"Utrecht";"PV26";"West-Nederland";"LD03"
"Vries";"2912";"Tynaarlo";"GM1730";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Vriescheloo";"2235";"Bellingwedde";"GM0007";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Vriezenveen";"3325";"Twenterand";"GM1700";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Vroomshoop";"3326";"Twenterand";"GM1700";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Vrouwenakker";"2672";"Nieuwkoop";"GM0569";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Vrouwenparochie";"3334";"het Bildt";"GM0063";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Vrouwenpolder";"2784";"Veere";"GM0717";"Zeeland";"PV29";"West-Nederland";"LD03"
"Vught";"1619";"Vught";"GM0865";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Vuren";"2357";"Lingewaal";"GM0733";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Waaksens";"2031";"Littenseradiel";"GM0140";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Waal";"1809";"Molenwaard";"GM1927";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"De Waal";"2739";"Texel";"GM0448";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Waalre";"1006";"Waalre";"GM0866";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Waalwijk";"2597";"Waalwijk";"GM0867";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"'t Waar";"1895";"Oldambt";"GM1895";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Waarde";"3466";"Reimerswaal";"GM0703";"Zeeland";"PV29";"West-Nederland";"LD03"
"Waardenburg";"3368";"Neerijnen";"GM0304";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Waarder";"2478";"Bodegraven-Reeuwijk";"GM1901";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Waardhuizen";"3305";"Woudrichem";"GM0874";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Waarland";"3293";"Schagen";"GM0441";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Waaxens";"3412";"Dongeradeel";"GM0058";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Wachtum";"2165";"Coevorden";"GM0109";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Waddinxveen";"3051";"Waddinxveen";"GM0627";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Wadenoijen";"2559";"Tiel";"GM0281";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Wagenberg";"2579";"Drimmelen";"GM1719";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Wagenborgen";"3244";"Delfzijl";"GM0010";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Wageningen";"2006";"Wageningen";"GM0289";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Walem";"1719";"Valkenburg aan de Geul";"GM0994";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Walsoorden";"3101";"Hulst";"GM0677";"Zeeland";"PV29";"West-Nederland";"LD03"
"Wâlterswâld";"3269";"Dantumadiel";"GM1891";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Wamel";"1773";"West Maas en Waal";"GM0668";"Gelderland";"PV25";"Oost-Nederland";"LD02"
